Organisation;Internetadresse;AGS;Typ;PLZ;Landkreis;Bundesland
Cochem;https://cochem.de;07135020;Stadt in Deutschland;56812;Landkreis Cochem-Zell;Rheinland-Pfalz
Bullay;http://www.bullay.de;07135019;Gemeinde in Deutschland ohne Stadtrecht;56859;Landkreis Cochem-Zell;Rheinland-Pfalz
Büchel;http://www.buechel.de;07135018;Gemeinde in Deutschland ohne Stadtrecht;56823;Landkreis Cochem-Zell;Rheinland-Pfalz
Bruttig-Fankel;https://www.bruttig-fankel.de;07135017;Gemeinde in Deutschland ohne Stadtrecht;56814;Landkreis Cochem-Zell;Rheinland-Pfalz
Brohl;http://www.brohl-eifel.de;07135016;Gemeinde in Deutschland ohne Stadtrecht;56754;Landkreis Cochem-Zell;Rheinland-Pfalz
Briedern;https://www.briedern.de;07135015;Gemeinde in Deutschland ohne Stadtrecht;56820;Landkreis Cochem-Zell;Rheinland-Pfalz
Brieden;http://www.brieden-eifel.de;07135014;Gemeinde in Deutschland ohne Stadtrecht;56829;Landkreis Cochem-Zell;Rheinland-Pfalz
Briedel;http://www.briedel.de;07135013;Gemeinde in Deutschland ohne Stadtrecht;56867;Landkreis Cochem-Zell;Rheinland-Pfalz
Bremm;http://www.bremm.info;07135012;Gemeinde in Deutschland ohne Stadtrecht;56814;Landkreis Cochem-Zell;Rheinland-Pfalz
Blankenrath;http://www.blankenrath.de;07135010;Gemeinde in Deutschland ohne Stadtrecht;56865;Landkreis Cochem-Zell;Rheinland-Pfalz
Binningen;https://www.binningen.de;07135009;Gemeinde in Deutschland ohne Stadtrecht;56754;Landkreis Cochem-Zell;Rheinland-Pfalz
Beuren;http://www.ulmen.de;07135008;Gemeinde in Deutschland ohne Stadtrecht;56825;Landkreis Cochem-Zell;Rheinland-Pfalz
Beilstein;http://www.vgcochem.de;07135007;Gemeinde in Deutschland ohne Stadtrecht;56814;Landkreis Cochem-Zell;Rheinland-Pfalz
Auderath;https://www.ulmen.de;07135005;Gemeinde in Deutschland ohne Stadtrecht;56766;Landkreis Cochem-Zell;Rheinland-Pfalz
Altstrimmig;http://www.zell-mosel.de;07135004;Gemeinde in Deutschland ohne Stadtrecht;56858;Landkreis Cochem-Zell;Rheinland-Pfalz
Altlay;http://www.altlay.de;07135003;Gemeinde in Deutschland ohne Stadtrecht;56858;Landkreis Cochem-Zell;Rheinland-Pfalz
Alflen;http://www.alflen.de;07135002;Gemeinde in Deutschland ohne Stadtrecht;56828;Landkreis Cochem-Zell;Rheinland-Pfalz
Alf;https://www.alf-mosel.de;07135001;Gemeinde in Deutschland ohne Stadtrecht;56859;Landkreis Cochem-Zell;Rheinland-Pfalz
Langweiler;http://www.langweiler.eu;07134502;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Wirschweiler;https://nationalparkgemeinde-wirschweiler.de;07134095;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Wilzenberg-Hußweiler;http://www.wilzenberg-hussweiler.de;07134094;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Wickenrodt;http://www.wickenrodt.de;07134093;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Weiden;http://www.vg-herrstein.de;07134091;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Vollmersbach;https://www.vollmersbach.de;07134090;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Veitsrodt;https://www.veitsrodt.de;07134089;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Stipshausen;https://stipshausen-idarkopf.de;07134087;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Sonnschied;http://www.sonnschied.de;07134086;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Sonnenberg-Winnenberg;http://www.vg-birkenfeld.de;07134085;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Sienhachenbach;http://www.vg-herrstein.de;07134083;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Sien;http://www.sien.de;07134082;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Schwerbach;https://www.schwerbach.de;07134079;Gemeinde in Deutschland ohne Stadtrecht;55624;Landkreis Birkenfeld;Rheinland-Pfalz
Schmißberg;https://www.schmissberg.de;07134078;Gemeinde in Deutschland ohne Stadtrecht;55765;Landkreis Birkenfeld;Rheinland-Pfalz
Schmidthachenbach;http://www.schmidthachenbach.de;07134077;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Schauren;http://www.schauren.de;07134076;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Ruschberg;https://www.ruschberg.de;07134075;Siedlung;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Rückweiler;http://www.rueckweiler.de;07134074;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Rohrbach;http://www.rohrbach-nahe.de;07134073;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Rötsweiler-Nockenthal;https://www.roetsweiler-nockenthal.de;07134072;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Rinzenberg;http://www.rinzenberg.de;07134071;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Rimsberg;https://www.rimsberg.de;07134070;Gemeinde in Deutschland ohne Stadtrecht;55765;Landkreis Birkenfeld;Rheinland-Pfalz
Rhaunen;https://www.rhaunen.de;07134069;Gemeinde in Deutschland ohne Stadtrecht;55624;Landkreis Birkenfeld;Rheinland-Pfalz
Reichenbach;http://www.vgv-baumholder.de;07134068;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Oberkirn;https://www.oberkirn.de;07134065;Gemeinde in Deutschland ohne Stadtrecht;55624;Landkreis Birkenfeld;Rheinland-Pfalz
Oberbrombach;http://www.oberbrombach.de;07134062;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Niederwörresbach;http://www.niederwoerresbach.de;07134060;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Niederhosenbach;http://www.niederhosenbach.de;07134059;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Niederhambach;https://www.niederhambach.de;07134058;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Niederbrombach;http://www.gemeinde-niederbrombach.de;07134057;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Mörschied;https://www.moerschied.de;07134056;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Mittelreidenbach;http://www.mittelreidenbach.de;07134055;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Meckenbach;https://www.meckenbach.com;07134053;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Mackenrodt;https://www.mackenrodt.de;07134052;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Leitzweiler;https://www.leitzweiler.de;07134051;Gemeinde in Deutschland ohne Stadtrecht;55779;Landkreis Birkenfeld;Rheinland-Pfalz
Leisel;http://www.leisel.net;07134050;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Krummenau;http://www.krummenau.de;07134049;Gemeinde in Deutschland ohne Stadtrecht;55483;Landkreis Birkenfeld;Rheinland-Pfalz
Kirschweiler;http://www.kirschweiler.de;07134047;Gemeinde in Deutschland ohne Stadtrecht;55743;Landkreis Birkenfeld;Rheinland-Pfalz
Kempfeld;http://www.kempfeld.de;07134046;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Idar-Oberstein;https://www.idar-oberstein.de;07134045;Stadt in Deutschland;55743;Landkreis Birkenfeld;Rheinland-Pfalz
Hottenbach;https://hottenbach.de;07134044;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Horbruch;https://www.vg-hr.de/wir-fuer-sie/ortsgemeinden/horbruch;07134043;Gemeinde in Deutschland ohne Stadtrecht;55483;Landkreis Birkenfeld;Rheinland-Pfalz
Hoppstädten-Weiersbach;http://www.hoppstaedten-weiersbach.de;07134042;Gemeinde in Deutschland ohne Stadtrecht;55768;Landkreis Birkenfeld;Rheinland-Pfalz
Hintertiefenbach;http://www.hintertiefenbach.de;07134041;Gemeinde in Deutschland ohne Stadtrecht;55743;Landkreis Birkenfeld;Rheinland-Pfalz
Hettenrodt;http://www.hettenrodt.de;07134040;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Herrstein;http://www.herrstein.de;07134039;Gemeinde in Deutschland ohne Stadtrecht;55756;Landkreis Birkenfeld;Rheinland-Pfalz
Herborn;http://www.herborn-hunsrueck.de;07134038;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Hahnweiler;http://www.hahnweiler.de;07134033;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Griebelschied;http://www.griebelschied.de;07134032;Gemeinde in Deutschland ohne Stadtrecht;55608;Landkreis Birkenfeld;Rheinland-Pfalz
Gollenberg;http://www.gollenberg.de;07134031;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Gösenroth;http://www.vg-rhaunen.de;07134030;Gemeinde in Deutschland ohne Stadtrecht;55624;Landkreis Birkenfeld;Rheinland-Pfalz
Gimbweiler;http://www.gimbweiler.de;07134029;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Frauenberg;https://www.frauenberg-nahe.de;07134027;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Fohren-Linden;https://www.fohren-linden.de;07134026;Gemeinde in Deutschland ohne Stadtrecht;55777;Landkreis Birkenfeld;Rheinland-Pfalz
Fischbach;http://www.fischbach-nahe.de;07134025;Gemeinde in Deutschland ohne Stadtrecht;55743;Landkreis Birkenfeld;Rheinland-Pfalz
Ellenberg;https://www.ellenberg-nahe.de;07134023;Gemeinde in Deutschland ohne Stadtrecht;55765;Landkreis Birkenfeld;Rheinland-Pfalz
Eckersweiler;http://www.eckersweiler.de;07134021;Gemeinde in Deutschland ohne Stadtrecht;55777;Landkreis Birkenfeld;Rheinland-Pfalz
Dienstweiler;http://www.dienstweiler.de;07134020;Gemeinde in Deutschland ohne Stadtrecht;55765;Landkreis Birkenfeld;Rheinland-Pfalz
Dickesbach;http://www.dickesbach.de;07134019;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Dambach;http://www.vg-birkenfeld.de;07134018;Gemeinde in Deutschland ohne Stadtrecht;55765;Landkreis Birkenfeld;Rheinland-Pfalz
Bundenbach;http://www.bundenbach.de;07134017;Gemeinde in Deutschland ohne Stadtrecht;55626;Verbandsgemeinde Herrstein-Rhaunen;Rheinland-Pfalz
Brücken;http://www.bruecken-nahe.de;07134015;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Bruchweiler;https://www.bruchweiler.de;07134014;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Breitenthal;https://www.vg-hr.de/wir-fuer-sie/ortsgemeinden/breitenthal;07134013;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Bollenbach;http://www.vg-rhaunen.de;07134012;Gemeinde in Deutschland ohne Stadtrecht;55624;Landkreis Birkenfeld;Rheinland-Pfalz
Börfink;http://www.gemeinde-boerfink.de;07134011;Gemeinde in Deutschland ohne Stadtrecht;54422;Landkreis Birkenfeld;Rheinland-Pfalz
Birkenfeld;https://www.stadt-birkenfeld.de;07134010;Stadt in Deutschland;55765;Verbandsgemeinde Birkenfeld;Rheinland-Pfalz
Berschweiler bei Kirn;http://www.berschweiler.de;07134009;Gemeinde in Deutschland ohne Stadtrecht;55608;Landkreis Birkenfeld;Rheinland-Pfalz
Berschweiler bei Baumholder;https://www.og-berschweiler.de;07134008;Gemeinde in Deutschland ohne Stadtrecht;55777;Landkreis Birkenfeld;Rheinland-Pfalz
Berglangenbach;http://www.berglangenbach.de;07134007;Gemeinde in Deutschland ohne Stadtrecht;55776;Landkreis Birkenfeld;Rheinland-Pfalz
Bergen;https://www.bergen-bei-kirn.de;07134006;Gemeinde in Deutschland ohne Stadtrecht;55608;Landkreis Birkenfeld;Rheinland-Pfalz
Baumholder;https://www.baumholder.de;07134005;Stadt in Deutschland;55774;Landkreis Birkenfeld;Rheinland-Pfalz
Allenbach;http://www.allenbach-hunsrueck.de;07134003;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Birkenfeld;Rheinland-Pfalz
Abentheuer;https://www.abentheuer.de;07134001;Gemeinde in Deutschland ohne Stadtrecht;55767;Landkreis Birkenfeld;Rheinland-Pfalz
Bad Sobernheim;http://stadt.bad-sobernheim.de;07133501;Stadt in Deutschland;55566;Landkreis Bad Kreuznach;Rheinland-Pfalz
Schneppenbach;https://www.schneppenbach.eu;07133204;Gemeinde in Deutschland ohne Stadtrecht;55608;Landkreis Bad Kreuznach;Rheinland-Pfalz
Kellenbach;http://www.kirn-land.de;07133202;Gemeinde in Deutschland ohne Stadtrecht;55606;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bruschied;https://www.bruschied.eu;07133201;Gemeinde in Deutschland ohne Stadtrecht;55606;Landkreis Bad Kreuznach;Rheinland-Pfalz
Rüdesheim;https://ruedesheim-nahe.de;07133117;Gemeinde in Deutschland ohne Stadtrecht;55593;Landkreis Bad Kreuznach;Rheinland-Pfalz
Winterbach;http://www.winterbachsoonwald.de;07133115;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Windesheim;https://www.windesheim.de;07133114;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Weinsheim;https://www.weinsheim.de;07133112;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Weiler bei Monzingen;http://www.bad-sobernheim.de;07133111;Gemeinde in Deutschland ohne Stadtrecht;55627;Landkreis Bad Kreuznach;Rheinland-Pfalz
Wallhausen;https://www.wallhausen.de;07133109;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Waldlaubersheim;https://www.waldlaubersheim.de;07133108;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Waldböckelheim;https://www.waldboeckelheim.de;07133107;Gemeinde in Deutschland ohne Stadtrecht;55596;Landkreis Bad Kreuznach;Rheinland-Pfalz
Volxheim;http://www.vg-badkreuznach.de/vg_bad_kreuznach/gemeinden/volxheim/die%20gemeinde;07133106;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Traisen;https://www.traisen.de;07133105;Siedlung;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Tiefenthal;http://www.tiefenthal.de;07133104;Ortsgemeinde in Rheinland-Pfalz;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Stromberg;http://www.stadt-stromberg.de;07133103;Stadt in Deutschland;55442;Verbandsgemeinde Langenlonsheim-Stromberg;Rheinland-Pfalz
Staudernheim;https://www.staudernheim.de;07133102;Gemeinde in Deutschland ohne Stadtrecht;55568;Landkreis Bad Kreuznach;Rheinland-Pfalz
Sponheim;https://www.sponheim.de;07133101;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Spall;http://www.spall-soonwald.de;07133100;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Spabrücken;http://www.spabruecken.de;07133099;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Sommerloch;https://www.vg-ruedesheim.de;07133098;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Simmertal;http://www.gemeinde-simmertal.de;07133096;Gemeinde in Deutschland ohne Stadtrecht;55618;Dhaun;Rheinland-Pfalz
Seibersbach;http://www.stromberg.de;07133095;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Seesbach;http://www.seesbach.de;07133094;Gemeinde in Deutschland ohne Stadtrecht;55629;Landkreis Bad Kreuznach;Rheinland-Pfalz
Schweppenhausen;http://www.schweppenhausen.de;07133093;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Schweinschied;https://schweinschied.de;07133092;Gemeinde in Deutschland ohne Stadtrecht;67744;Landkreis Bad Kreuznach;Rheinland-Pfalz
Schöneberg;http://www.schoeneberg-soonwald.de;07133091;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Schloßböckelheim;https://www.schlossboeckelheim.de;07133089;Gemeinde in Deutschland ohne Stadtrecht;55596;Landkreis Bad Kreuznach;Rheinland-Pfalz
Sankt Katharinen;http://www.vg-ruedesheim.de;07133088;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Rümmelsheim;http://www.ruemmelsheim.de;07133087;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Roxheim;http://www.roxheim.de;07133086;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Rehborn;http://www.gemeinde-rehborn.de;07133083;Gemeinde in Deutschland ohne Stadtrecht;55592;Landkreis Bad Kreuznach;Rheinland-Pfalz
Raumbach;http://www.raumbach.de;07133081;Gemeinde in Deutschland ohne Stadtrecht;55592;Landkreis Bad Kreuznach;Rheinland-Pfalz
Pleitersheim;http://www.pleitersheim.de;07133080;Gemeinde in Deutschland ohne Stadtrecht;55576;Landkreis Bad Kreuznach;Rheinland-Pfalz
Pfaffen-Schwabenheim;http://www.vgvkh.de;07133078;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Odernheim am Glan;http://www.odernheim.de;07133076;Gemeinde in Deutschland ohne Stadtrecht;55571;Landkreis Bad Kreuznach;Rheinland-Pfalz
Oberhausen an der Nahe;http://www.oberhausen-nahe.de;07133074;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
Norheim;https://norheim.de;07133071;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
Niederhausen;http://www.niederhausennahe.de;07133070;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
Neu-Bamberg;http://www.neu-bamberg.de;07133069;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Münchwald;http://www.gemeinde-muenchwald.de;07133068;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Monzingen;https://www.monzingen.de;07133067;Gemeinde in Deutschland ohne Stadtrecht;55569;Landkreis Bad Kreuznach;Rheinland-Pfalz
Merxheim;http://www.merxheim.de;07133066;Gemeinde in Deutschland ohne Stadtrecht;55627;Landkreis Bad Kreuznach;Rheinland-Pfalz
Meisenheim;http://www.meisenheim.de;07133065;Stadt in Deutschland;55590;Landkreis Bad Kreuznach;Rheinland-Pfalz
Meddersheim;http://www.meddersheim.de;07133064;Gemeinde in Deutschland ohne Stadtrecht;55566;Landkreis Bad Kreuznach;Rheinland-Pfalz
Meckenbach;https://www.meckenbach.de;07133063;Gemeinde in Deutschland ohne Stadtrecht;55606;Landkreis Bad Kreuznach;Rheinland-Pfalz
Mandel;http://www.gemeinde-mandel.de;07133061;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Löllbach;https://www.vg-nahe-glan.de/gemeinden-staedte/loellbach;07133060;Gemeinde in Deutschland ohne Stadtrecht;67744;Landkreis Bad Kreuznach;Rheinland-Pfalz
Lauschied;http://www.lauschied.de;07133057;Gemeinde in Deutschland ohne Stadtrecht;55568;Landkreis Bad Kreuznach;Rheinland-Pfalz
Laubenheim;https://www.laubenheim.de;07133056;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Langenlonsheim;https://www.langenlonsheim.net;07133054;Gemeinde in Deutschland ohne Stadtrecht;55450;Landkreis Bad Kreuznach;Rheinland-Pfalz
Kirschroth;http://www.kirschroth.de;07133053;Gemeinde in Deutschland ohne Stadtrecht;55566;Landkreis Bad Kreuznach;Rheinland-Pfalz
Kirn;https://www.kirn.de;07133052;Stadt in Deutschland;55606;Landkreis Bad Kreuznach;Rheinland-Pfalz
Ippenschied;http://www.ippenschied.de;07133050;Gemeinde in Deutschland ohne Stadtrecht;55566;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hüffelsheim;https://www.hueffelsheim.de;07133048;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hochstätten;http://www.hochstaetten-pfalz.de;07133045;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hergenfeld;https://www.hergenfeld.de;07133044;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hennweiler;http://www.hennweiler.de;07133043;Gemeinde in Deutschland ohne Stadtrecht;55619;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hargesheim;https://www.hargesheim.de;07133040;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hallgarten;http://www.vg-badkreuznach.de/vg_bad_kreuznach/gemeinden/hallgarten/die%20gemeinde;07133039;Gemeinde in Deutschland ohne Stadtrecht;67826;Landkreis Bad Kreuznach;Rheinland-Pfalz
Hackenheim;http://www.hackenheim.de;07133037;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Gutenberg;http://www.gutenberg-nahe.de;07133036;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Guldental;https://www.guldental.de;07133035;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Gebroth;https://www.vg-ruedesheim.de/ortsgemeinden/gebroth;07133033;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Fürfeld;http://www.fuerfeld.de;07133032;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Frei-Laubersheim;http://www.frei-laubersheim.de;07133031;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Feilbingert;https://feilbingert.de;07133030;Gemeinde in Deutschland ohne Stadtrecht;67824;Landkreis Bad Kreuznach;Rheinland-Pfalz
Eckenroth;http://www.stromberg.de;07133028;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Duchroth;https://www.duchroth.de;07133027;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
Dorsheim;https://www.dorsheim.de;07133026;Gemeinde in Deutschland ohne Stadtrecht;55452;Landkreis Bad Kreuznach;Rheinland-Pfalz
Dörrebach;http://www.doerrebach-online.de;07133025;Gemeinde in Deutschland ohne Stadtrecht;55444;Landkreis Bad Kreuznach;Rheinland-Pfalz
Desloch;http://www.desloch.de;07133024;Gemeinde in Deutschland ohne Stadtrecht;55592;Bad Kreuznach;Rheinland-Pfalz
Daxweiler;https://www.gemeinde-daxweiler.de;07133023;Gemeinde in Deutschland ohne Stadtrecht;55442;Landkreis Bad Kreuznach;Rheinland-Pfalz
Daubach;http://www.bad-sobernheim.de;07133022;Gemeinde in Deutschland ohne Stadtrecht;55566;Landkreis Bad Kreuznach;Rheinland-Pfalz
Dalberg;http://www.gemeinde-dalberg.de;07133021;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Burgsponheim;https://www.burgsponheim.de;07133019;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bretzenheim;https://www.bretzenheim.de;07133018;Gemeinde in Deutschland ohne Stadtrecht;55559;Landkreis Bad Kreuznach;Rheinland-Pfalz
Breitenheim;https://www.breitenheim.de;07133017;Gemeinde in Deutschland ohne Stadtrecht;55592;Landkreis Bad Kreuznach;Rheinland-Pfalz
Braunweiler;http://www.braunweiler.de;07133015;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Boos;http://www.boos-nahe.de;07133014;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bockenau;https://www.bockenau.de;07133013;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Biebelsheim;http://www.biebelsheim.de;07133012;Gemeinde in Deutschland ohne Stadtrecht;55546;Landkreis Bad Kreuznach;Rheinland-Pfalz
Becherbach;http://www.meisenheim.de;07133011;Gemeinde in Deutschland ohne Stadtrecht;67827;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bärweiler;http://www.baerweiler.de;07133009;Gemeinde in Deutschland ohne Stadtrecht;55606;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bärenbach;http://www.kirn-land.de;07133008;Gemeinde in Deutschland ohne Stadtrecht;55758;Landkreis Bad Kreuznach;Rheinland-Pfalz
Bad Münster am Stein-Ebernburg;https://www.bad-muenster-am-stein.de;07133007;Ortsteil;55583;Bad Kreuznach;Rheinland-Pfalz
Bad Kreuznach;https://www.bad-kreuznach.de;07133006;Stadt in Deutschland;55543–55545;Landkreis Bad Kreuznach;Rheinland-Pfalz
Auen;http://www.auen.de;07133005;Gemeinde in Deutschland ohne Stadtrecht;55569;Landkreis Bad Kreuznach;Rheinland-Pfalz
Argenschwang;http://www.argenschwang.de;07133004;Gemeinde in Deutschland ohne Stadtrecht;55595;Landkreis Bad Kreuznach;Rheinland-Pfalz
Altenbamberg;https://www.altenbamberg.com;07133003;Gemeinde in Deutschland ohne Stadtrecht;55585;Landkreis Bad Kreuznach;Rheinland-Pfalz
